item_id,baseline,source_file,reference,classification,reference_scope,priority,change_type,proposed_action,code_change_required,configuration_change_required,reason,current_status
PATH-0001,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_gripper_follow_probe.py,/tmp/openworldtactile_uipc_min_gripper_follow_probe,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0002,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_pad_link8_camera_viewer.py,/tmp/openworldtactile_uipc_pad_link8_manual_camera,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0003,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_pad_usd_viewer.py,/tmp/openworldtactile_uipc_pad_loaded_adjusted,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0004,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_pad_usd_viewer.py,/tmp/openworldtactile_uipc_pad_usd_only_viewer,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0005,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v1.py,/tmp/openworldtactile_newbench_validation,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0006,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v1.py,/tmp/openworldtactile_newbench_uipc,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0007,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2.py,/tmp/openworldtactile_newbench_v2_validation,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0008,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2.py,/tmp/openworldtactile_newbench_uipc,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0009,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_2.py,/tmp/openworldtactile_newbench_v2_2_validation,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0010,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_2.py,/tmp/openworldtactile_newbench_uipc,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0011,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_2_camera_membrane_test.py,/tmp/openworldtactile_uipc_v2_2_camera_membrane_test,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0012,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_3.py,/tmp/openworldtactile_surface_force_v2_3,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0013,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_3.py,/tmp/openworldtactile_newbench_uipc,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0014,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_3_marker_tracking_test.py,/tmp/openworldtactile_uipc_v2_3_marker_tracking_test,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0015,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_4.py,/tmp/openworldtactile_surface_force_v2_4,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0016,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_4.py,/tmp/openworldtactile_newbench_uipc,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0017,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_5.py,/tmp/openworldtactile_surface_force_v2_5,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0018,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_5.py,/tmp/openworldtactile_newbench_uipc,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0019,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_6.py,/tmp/openworldtactile_surface_force_v2_6,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0020,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_6.py,/tmp/openworldtactile_newbench_uipc,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0021,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_7.py,/tmp/openworldtactile_surface_force_v2_7,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0022,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_7.py,/tmp/openworldtactile_newbench_uipc,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0023,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_8.py,/tmp/openworldtactile_dataset_v2_8_{stamp},runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0024,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_8.py,/tmp/openworldtactile_dataset_v2_8_,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0025,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_force_test.py,/tmp/openworldtactile_uipc_v2_force_core_test,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0026,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v4_1_mounted_contact.py,/tmp/openworldtactile_uipc_v4_1_mounted_contact,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0027,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v4_1_mounted_contact.py,/tmp/openworldtactile_uipc_v4_1_workspace,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0028,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v4_2_gripper_fxyz.py,/tmp/openworldtactile_uipc_v4_2_gripper_fxyz,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0029,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v4_2_gripper_fxyz.py,/tmp/openworldtactile_uipc_v4_2_workspace,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0030,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v4_3meta.py,/tmp/openworldtactile_uipc_v4_3meta,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0031,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v4_4_synthetic_force_rgb.py,/tmp/openworldtactile_uipc_v4_4_synthetic_force_rgb,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0032,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v4_5_object_geometry_texture_imprint.py,/tmp/openworldtactile_uipc_v4_5_object_geometry_texture_imprint,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0033,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v4_6_pressure_fxyz_texture.py,/tmp/openworldtactile_uipc_v4_6_pressure_fxyz_texture_minimal,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0034,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v4_7_single_contact.py,/tmp/openworldtactile_uipc_v4_7_single_contact_minimal,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0035,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v4_7_single_contact.py,/tmp/openworldtactile_uipc_v4_7_workspace,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0036,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v4_8_pad_visual_contact.py,/tmp/openworldtactile_uipc_v4_8_pad_asset_visual_contact,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0037,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v4_8_pad_visual_contact.py,/tmp/openworldtactile_uipc_v4_8_workspace,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0038,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v4_9_usd_contact_smoke.py,/tmp/openworldtactile_uipc_v4_9_openworldtactile_usd_visual_contact_smoke,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0039,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v4_9b_agilex_pad_mount_smoke.py,/tmp/openworldtactile_uipc_v4_9b_native_agilex_pad_mount_smoke,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0040,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v4_9c_agilex_pad_mount.py,/tmp/openworldtactile_uipc_v4_9c_native_agilex_pad_mount_only,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0041,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v4_mounted_contact.py,/tmp/openworldtactile_uipc_v4_mounted_contact,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0042,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v4_mounted_contact.py,/tmp/openworldtactile_newbench_uipc,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0043,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v5_1_mounted_grasp.py,/tmp/openworldtactile_uipc_v5_1_direct_uipc_mounted_grasp,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0044,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v5_1_mounted_grasp.py,/tmp/openworldtactile_uipc_v5_1_workspace,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0045,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v5_1_pad_follow_fxyz.py,/tmp/openworldtactile_uipc_v5_1_pad_only_follow_fxyz,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0046,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v5_1_pad_follow_fxyz.py,/tmp/openworldtactile_uipc_v5_1_pad_only_workspace,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0047,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v5_2_static_contact_smoke.py,/tmp/openworldtactile_uipc_v5_2_contact_smoke_static_tool,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0048,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v5_2_static_contact_smoke.py,/tmp/openworldtactile_uipc_v5_2_contact_smoke_workspace,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0049,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v5_3a_moving_pad_no_contact.py,/tmp/openworldtactile_uipc_v5_3a_moving_pad_no_contact,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0050,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v5_3a_moving_pad_no_contact.py,/tmp/openworldtactile_uipc_v5_3a_moving_pad_no_contact_workspace,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0051,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v5_mounted_contact.py,/tmp/openworldtactile_uipc_v5_0_hardcoded_nut_grasp_smoke,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0052,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v5_new_1_mount_check.py,/tmp/openworldtactile_uipc_v5_new_1_mount_verified,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0053,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v5_new_2_physx_grasp.py,/tmp/openworldtactile_uipc_v5_new_2_physx_grasp_verified,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0054,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v5_new_3_fz_grasp.py,/tmp/openworldtactile_uipc_v5_new_3_uipc_fz_grasp,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0055,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v5_new_3_fz_grasp.py,/tmp/openworldtactile_uipc_v5_new_3_workspace,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0056,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v5_new_3b_fz_baseline.py,/tmp/openworldtactile_uipc_v5_new_3b_uipc_fz_baseline_clean,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0057,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v5_new_3b_fz_baseline.py,/tmp/openworldtactile_uipc_v5_new_3b_workspace,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0058,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v5_new_3c_contact_gap_debug.py,/tmp/openworldtactile_uipc_v5_new_3c_contact_gap_debug,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
